ticker,debtToEquity(%),currentRatio(%),ROE(%),Runway(Years),TotalCash(M$),FreeCashflow(M$),OperatingCashflow(M$),NetIncome(M$),PBR,BPS($),lastUpdated
IBM,237.831,93.2,30.16,inf,14855.0,11757.5,13483.0,7919.0,10.24,29.85,2026-01-20 21:22:48
QUBT,0.294,15486.9,-14.57,23.92,555.57,-23.23,-23.05,-68.36,2.7,4.7,2026-01-20 21:22:49
SMR,,161.5,-297.54,inf,691.79,298.12,-282.32,-379.94,4.08,4.95,2026-01-20 21:22:50
OKLO,0.138,6750.6,-10.42,22.75,921.6,-40.52,-62.22,-76.56,12.3,7.72,2026-01-20 21:22:51
BWXT,121.594,170.8,26.72,inf,79.59,273.23,629.73,306.97,16.04,13.58,2026-01-20 21:22:51
NNE,1.256,5348.4,-31.53,8.22,203.52,-24.76,-19.62,-40.07,6.69,5.33,2026-01-20 21:22:52
LEU,334.288,345.7,51.74,inf,1631.8,166.32,157.3,113.7,16.6,19.94,2026-01-20 21:22:53
UEC,0.147,2771.6,-7.29,7.43,454.72,-61.17,-87.31,-77.84,6.58,2.72,2026-01-20 21:22:54
CCJ,14.854,299.1,8.1,inf,778.65,787.33,1260.82,525.98,10.39,11.2,2026-01-20 21:22:55
DNA,75.542,439.0,-50.02,5.69,461.86,-81.14,-165.82,-339.55,0.97,9.85,2026-01-20 21:22:56
TWST,19.15,364.3,-16.43,7.12,232.43,-32.63,-47.63,-77.67,5.31,7.8,2026-01-20 21:22:57
TXG,11.079,447.9,-10.12,inf,482.08,112.06,88.53,-76.32,3.31,6.21,2026-01-20 21:22:58
ABCL,14.752,1010.3,-16.81,2.05,495.67,-241.47,-104.55,-171.68,1.28,3.22,2026-01-20 21:22:58
ARQQ,2.64,268.6,-181.44,3.28,36.98,-11.29,-29.55,-35.43,14.94,1.78,2026-01-20 21:22:59
LAES,5.393,738.3,-49.36,23.98,120.94,-5.04,-18.3,-30.44,5.07,0.9,2026-01-20 21:23:00
BTQ,,2045.1,-77.67,13.74,39.39,-2.87,-8.57,-14.3,28.72,0.2,2026-01-20 21:23:01
CLPT,225.18,637.4,-103.13,7.2,38.22,-5.31,-13.09,-23.14,26.25,0.56,2026-01-20 21:23:02
NPCE,384.388,486.2,-169.27,7.07,60.01,-8.49,-16.31,-23.99,30.47,0.56,2026-01-20 21:23:03
WATT,9.537,488.2,-175.09,1.49,12.9,-8.64,-12.69,-12.4,0.73,7.52,2026-01-20 21:23:03
AIRJ,0.046,1414.7,-0.34,4.72,26.01,-5.52,-6.74,-0.93,0.71,4.73,2026-01-20 21:23:04
COIN,48.559,240.4,26.0,8.9,9769.67,-1097.91,325.85,3217.71,4.04,59.62,2026-01-20 21:23:05
HOOD,188.794,110.8,27.82,,19404.0,,1175.0,2194.0,11.41,9.53,2026-01-20 21:23:06
CRCL,5.429,103.0,,,1348.9,,399.41,-200.7,6.09,12.91,2026-01-20 21:23:07
XYZ,36.049,218.3,14.69,inf,8784.81,241.06,1972.51,3135.89,1.79,36.94,2026-01-20 21:23:08
MSTR,14.147,66.0,25.59,inf,54.28,6903.84,-62.94,7719.65,0.95,182.27,2026-01-20 21:23:09
BMNR,,648.3,-86.26,89.88,887.68,-9.88,-232.41,-4872.0,1.13,27.54,2026-01-20 21:23:09
MP,43.511,804.8,-6.83,10.39,1940.37,-186.83,-78.42,-117.64,6.22,11.09,2026-01-20 21:23:10
METC,25.882,297.3,-7.4,9.31,193.85,-20.81,36.02,-32.51,2.62,7.96,2026-01-20 21:23:11
USAR,,1651.1,-3646.63,11.51,257.61,-22.39,-24.59,-285.38,-33.25,-0.53,2026-01-20 21:23:12
UUUU,,1149.6,-18.11,2.19,235.26,-107.54,-109.25,-97.77,7.39,2.97,2026-01-20 21:23:13
AREC,,9.9,,inf,2.08,4.87,-13.11,-20.77,-3.81,-0.94,2026-01-20 21:23:14
